player_name,dg_index,dg_rank,dg_last_week,owgr_rank,owgr_last_week
"McIlroy, Rory",N/A,1,1,2,2
"Rahm, Jon",N/A,2,2,3,3
"Thomas, Justin",N/A,3,3,4,4
"Simpson, Webb",N/A,4,4,11,11
"Matsuyama, Hideki",N/A,5,5,23,21
"Schauffele, Xander",N/A,6,6,9,8
"Fleetwood, Tommy",N/A,7,9,10,10
"Woods, Tiger",N/A,8,7,6,7
"Cantlay, Patrick",N/A,9,8,7,6
"Scott, Adam",N/A,10,10,13,13
"Reed, Patrick",N/A,11,11,12,12
"Oosthuizen, Louis",N/A,12,13,14,18
"Fowler, Rickie",N/A,13,14,25,22
"Koepka, Brooks",N/A,14,12,1,1
"Rose, Justin",N/A,15,15,8,9
"Woodland, Gary",N/A,16,16,15,14
"Johnson, Dustin",N/A,17,17,5,5
"Im, Sungjae",N/A,18,20,34,35
"Fitzpatrick, Matthew",N/A,19,24,24,25
"Casey, Paul",N/A,20,18,18,17
"Morikawa, Collin",N/A,21,19,55,53
"Stenson, Henrik",N/A,22,21,26,26
"Ancer, Abraham",N/A,23,32,30,39
"Scheffler, Scottie",N/A,24,39,51,66
"DeChambeau, Bryson",N/A,25,22,17,16
"Macintyre, Robert",N/A,26,27,67,65
"Snedeker, Brandt",N/A,27,28,48,47
"Hovland, Viktor",N/A,28,26,96,94
"Finau, Tony",N/A,29,36,16,15
"Horschel, Billy",N/A,30,23,39,36
"An, Byeong Hun",N/A,31,25,47,44
"Hatton, Tyrrell",N/A,32,30,35,34
"Conners, Corey",N/A,33,31,59,56
"Schwab, Matthias",N/A,34,29,79,80
"Cabrera Bello, Rafa",N/A,35,42,43,42
"Taylor, Vaughn",N/A,36,34,95,98
"Perez, Victor",N/A,37,63,41,45
"Niemann, Joaquin",N/A,38,37,58,54
"Van Rooyen, Erik",N/A,39,50,46,48
"Garcia, Sergio",N/A,40,52,42,41
"Waring, Paul",N/A,41,51,66,74
"Putnam, Andrew",N/A,42,53,49,51
"Lowry, Shane",N/A,43,35,19,19
"Wiesberger, Bernd",N/A,44,59,22,23
"Day, Jason",N/A,45,41,44,40
"McCarthy, Denny",N/A,46,40,151,146
"Smith, Cameron",N/A,47,44,33,31
"Howell III, Charles",N/A,48,33,60,57
"Kuchar, Matt",N/A,49,45,20,24
"Poston, J.T.",N/A,50,47,69,67
"Lorenzo-Vera, Michael",N/A,51,49,68,68
"Palmer, Ryan",N/A,52,46,72,71
"Furyk, Jim",N/A,53,48,64,61
"Munoz, Sebastian",N/A,54,60,98,104
"Kisner, Kevin",N/A,55,38,32,30
"Noren, Alex",N/A,56,68,78,82
"Griffin, Lanto",N/A,57,54,94,93
"Hadwin, Adam",N/A,58,56,52,49
"Leishman, Marc",N/A,59,58,28,28
"Kokrak, Jason",N/A,60,43,65,64
"Cauley, Bud",N/A,61,80,142,182
"Ortiz, Carlos",N/A,62,55,147,143
"Harman, Brian",N/A,63,67,127,123
"Knox, Russell",N/A,64,64,111,113
"Luiten, Joost",N/A,65,57,87,88
"Spieth, Jordan",N/A,66,62,45,43
"Moore, Ryan",N/A,67,85,91,105
"Sabbatini, Rory",N/A,68,61,85,84
"Westwood, Lee",N/A,69,98,29,63
"Kinhult, Marcus",N/A,70,66,83,81
"Pieters, Thomas",N/A,71,70,84,85
"English, Harris",N/A,72,71,199,185
"Glover, Lucas",N/A,73,72,76,72
"Grillo, Emiliano",N/A,74,73,113,110
"Detry, Thomas",N/A,75,65,121,118
"Frittelli, Dylan",N/A,76,79,107,106
"Na, Kevin",N/A,77,92,27,27
"Willett, Danny",N/A,78,69,31,29
"Berger, Daniel",N/A,79,86,152,152
"Kaymer, Martin",N/A,80,99,116,127
"Burgoon, Bronson",N/A,81,88,191,186
"Tringale, Cameron",N/A,82,90,215,218
"Perez, Pat",N/A,83,83,126,125
"Bradley, Keegan",N/A,84,84,53,50
"Wise, Aaron",N/A,85,76,123,120
"Lewis, Tom",N/A,86,77,62,59
"Poulter, Ian",N/A,87,75,50,46
"Stricker, Steve",N/A,88,300+,300+,300+
"Wolff, Matthew",N/A,89,78,102,102
"Taylor, Nick",N/A,90,82,233,229
"Varner III, Harold",N/A,91,87,133,128
"Grace, Branden",N/A,92,108,70,73
"Schenk, Adam",N/A,93,118,209,230
"Todd, Brendon",N/A,94,103,57,58
"Molinari, Francesco",N/A,95,74,21,20
"McDowell, Graeme",N/A,96,95,100,100
"Stanley, Kyle",N/A,97,93,124,121
"Jones, Matt",N/A,98,97,99,97
"Wallace, Matt",N/A,99,91,37,32
"Johnson, Zach",N/A,100,89,211,200
